menu_id,parent_menu_id,depth1,depth2,depth3,depth4,depth_level,path,border,link
1,,Women,,,,1,,,
2,1,Women,Ready-To-Wear,,,2,,,
3,2,Women,Ready-To-Wear,View All,,3,women/ready-to-wear/,,
4,2,Women,Ready-To-Wear,Dresses,,3,women/ready-to-wear/dresses/,,
5,2,Women,Ready-To-Wear,Jackets And Blazers,,3,women/ready-to-wear/jackets-and-blazers/,,
6,2,Women,Ready-To-Wear,Outerwear,,3,women/ready-to-wear/outerwear/,,
7,2,Women,Ready-To-Wear,T-Shirts,,3,women/ready-to-wear/t-shirts/,,
8,7,Women,Ready-To-Wear,T-Shirts,Classic Logo,4,women/ready-to-wear/t-shirts/classic-logo/,,
9,7,Women,Ready-To-Wear,T-Shirts,Cropped,4,women/ready-to-wear/t-shirts/cropped/,,
10,2,Women,Ready-To-Wear,Tops And Shirts,,3,women/ready-to-wear/tops-and-shirts/,,
11,10,Women,Ready-To-Wear,Tops And Shirts,Tops,4,women/ready-to-wear/tops-and-shirts/tops/,,
12,10,Women,Ready-To-Wear,Tops And Shirts,Shirts,4,women/ready-to-wear/tops-and-shirts/shirts/,,
13,2,Women,Ready-To-Wear,Sweatshirts,,3,women/ready-to-wear/sweatshirts/,,
14,2,Women,Ready-To-Wear,Knitwear,,3,women/ready-to-wear/knitwear/,,
15,2,Women,Ready-To-Wear,Skirts,,3,women/ready-to-wear/skirts/,,
16,2,Women,Ready-To-Wear,Trousers And Shorts,,3,women/ready-to-wear/trousers-and-shorts/,,
17,16,Women,Ready-To-Wear,Trousers And Shorts,Trousers,4,women/ready-to-wear/trousers-and-shorts/trousers/,,
18,16,Women,Ready-To-Wear,Trousers And Shorts,Shorts,4,women/ready-to-wear/trousers-and-shorts/shorts/,,
19,2,Women,Ready-To-Wear,Denim,,3,women/ready-to-wear/denim/,,
20,2,Women,Ready-To-Wear,Swimwear,,3,women/ready-to-wear/swimwear/,,
21,1,Women,Bags,,,2,,,
22,21,Women,Bags,View all,,3,women/bags/,,
23,21,Women,Bags,Handbags,,3,women/bags/handbags/,,
24,21,Women,Bags,Crossbody Bags,,3,women/bags/crossbody-bags/,,
25,21,Women,Bags,Shoulder Bags,,3,women/bags/shoulder-bags/,,
26,21,Women,Bags,Tote Bags,,3,women/bags/tote-bags/,,
27,21,Women,Bags,Mini Bags,,3,women/bags/mini-bags/,,
28,21,Women,Bags,Clutches,,3,women/bags/clutches/,,
29,21,Women,Bags,Grocery Bags,,3,women/bags/grocery-bags/,,
30,21,Women,Bags,Jolie Madame Bags,,3,women/bags/jolie-madame-bags/,TRUE,
31,21,Women,Bags,Emblème Bags,,3,women/bags/emblème-bags/,,
32,21,Women,Bags,B-Buzz Bags,,3,women/bags/bbuzzbags/,,
33,21,Women,Bags,B-Army Bags,,3,women/bags/b-army-bags/,,
34,21,Women,Bags,1945 Bags,,3,women/bags/1945-bags/,,
35,21,Women,Bags,B-Buzz Dynasty Bags,,3,women/bags/b-buzz-dynasty-bags/,,
36,21,Women,Bags,Olivier's Cabas,,3,women/bags/olivier%27s-cabas/,,
37,21,Women,Bags,Special Bags,,3,women/bags/special-bags/,,
38,1,Women,Sneakers,,,2,,,
39,38,Women,Sneakers,View all,,3,women/sneakers/,,
40,38,Women,Sneakers,Unicorn,,3,women/sneakers/unicorn/,,
41,38,Women,Sneakers,Swan,,3,women/sneakers/swan/,,
42,38,Women,Sneakers,B-Court,,3,women/sneakers/b-court/,,
43,38,Women,Sneakers,B-East,,3,women/sneakers/b-east/,,
44,38,Women,Sneakers,Run-Row,,3,women/sneakers/run-row/,,
45,38,Women,Sneakers,Cosmic Dust,,3,women/sneakers/cosmic-dust/,,
46,1,Women,Shoes,,,2,,,
47,46,Women,Shoes,View all,,3,women/shoes/,,
48,46,Women,Shoes,High Heels & Pumps,,3,women/shoes/high-heels/,,
49,46,Women,Shoes,Boots,,3,women/shoes/boots-and-rangers/,,
50,46,Women,Shoes,Flat Shoes,,3,women/shoes/flats/,,
51,46,Women,Shoes,Sneakers,,3,women/sneakers/,,
52,51,Women,Shoes,Sneakers,Unicorn,4,women/sneakers/unicorn/,,
53,51,Women,Shoes,Sneakers,Swan,4,women/sneakers/swan/,,
54,51,Women,Shoes,Sneakers,B-Court,4,women/sneakers/b-court/,,
55,51,Women,Shoes,Sneakers,B-East,4,women/sneakers/b-east/,,
56,51,Women,Shoes,Sneakers,Run-Row,4,women/sneakers/run-row/,,
57,51,Women,Shoes,Sneakers,Cosmic Dust,4,women/sneakers/cosmic-dust/,,
58,1,Women,Accessories,,,2,,,
59,59,Women,Accessories,View All,,3,women/accessories/,,
60,59,Women,Accessories,Eyewear,,3,women/accessories/eyewear/,,
61,59,Women,Accessories,Small Leather Goods,,3,women/accessories/small-leather-goods/,,
62,59,Women,Accessories,Belts,,3,women/accessories/belts/,,
63,59,Women,Accessories,Fashion Jewelry,,3,women/accessories/fashion-jewelry/,,
64,59,Women,Accessories,Scarves,,3,women/accessories/scarves/,,
65,59,Women,Accessories,Hats And Caps,,3,women/accessories/hats/,,
66,59,Women,Accessories,Other Accessories,,3,women/accessories/other-accessories/,,
67,1,Women,New In,,,2,women/new-in/,TRUE,
68,1,Women,Gifts For Her,,,2,women/gifts-for-her/,,
69,1,Women,Essentials For Her,,,2,women/essentials-for-her/,,
70,1,Women,Atelier Balmain,,,2,women/atelier-balmain/,,
71,1,Women,Online Exclusive,,,2,women/online-exclusive/,,
72,1,Women,Sustainable Selection,,,2,women/sustainable-selection/,,
73,,Men,,,,1,,,
74,73,Men,Ready-To-Wear,,,2,,,
75,74,Men,Ready-To-Wear,View all,,3,men/ready-to-wear/,,
76,74,Men,Ready-To-Wear,T-Shirts,,3,men/ready-to-wear/t-shirts/,,
77,76,Men,Ready-To-Wear,T-Shirts,Large Logo,4,men/ready-to-wear/t-shirts/large-logo/,,
78,76,Men,Ready-To-Wear,T-Shirts,Small Logo,4,men/ready-to-wear/t-shirts/small-logo/,,
79,74,Men,Ready-To-Wear,Shirts And Polos,,3,men/ready-to-wear/shirts-and-polos/,,
80,79,Men,Ready-To-Wear,Shirts And Polos,Shirts,4,men/ready-to-wear/shirts-and-polos/shirts/,,
81,79,Men,Ready-To-Wear,Shirts And Polos,Polos,4,men/ready-to-wear/shirts-and-polos/polos/,,
82,74,Men,Ready-To-Wear,Sweatshirts,,3,men/ready-to-wear/sweatshirts/,,
83,74,Men,Ready-To-Wear,Knitwear,,3,men/ready-to-wear/knitwear/,,
84,74,Men,Ready-To-Wear,Jackets And Blazers,,3,men/ready-to-wear/jackets-and-bombers/,,
85,74,Men,Ready-To-Wear,Outerwear,,3,men/ready-to-wear/outerwear/,,
86,73,Men,Ready-To-Wear,Trousers And Shorts,,3,men/ready-to-wear/trousers-and-shorts/,,
87,86,Men,Ready-To-Wear,Trousers And Shorts,Tailored,4,men/ready-to-wear/trousers-and-shorts/tailored/,,
88,86,Men,Ready-To-Wear,Trousers And Shorts,Casual,4,men/ready-to-wear/trousers-and-shorts/casual/,,
89,74,Men,Ready-To-Wear,Denim,,3,men/ready-to-wear/denim/,,
90,74,Men,Ready-To-Wear,Sportswear,,3,men/ready-to-wear/sportswear/,,
91,74,Men,Ready-To-Wear,Swimwear,,3,men/ready-to-wear/swimwear/,,
92,73,Men,Sneakers,,,2,,,
93,92,Men,Sneakers,View all,,3,men/sneakers/,,
94,92,Men,Sneakers,Unicorn,,3,men/sneakers/unicorn/,,
95,92,Men,Sneakers,Swan,,3,men/sneakers/swan/,,
96,92,Men,Sneakers,B-Court,,3,men/sneakers/bcourt/,,
97,92,Men,Sneakers,B-East,,3,men/sneakers/b-east/,,
98,92,Men,Sneakers,Run-Row,,3,men/sneakers/run-row/,,
99,92,Men,Sneakers,Cosmic Dust,,3,men/sneakers/cosmic-dust/,,
100,73,Men,Shoes,,,2,,,
101,100,Men,Shoes,View all,,3,men/shoes/,,
102,92,Men,Shoes,Sneakers,Unicorn,4,men/sneakers/unicorn/,,
103,92,Men,Shoes,Sneakers,Swan,4,men/sneakers/swan/,,
104,92,Men,Shoes,Sneakers,B-Court,4,men/sneakers/b-court/,,
105,92,Men,Shoes,Sneakers,B-East,4,men/sneakers/b-east/,,
106,92,Men,Shoes,Sneakers,Run-Row,4,men/sneakers/run-row/,,
108,101,Men,Shoes,Boots And Rangers,,3,men/shoes/boots-and-rangers/,,
109,101,Men,Shoes,Loafers,,3,men/shoes/loafers/,,
110,101,Men,Shoes,Sandals,,3,men/shoes/sandals/,,
111,100,Men,Bags,,,2,,,
112,111,Men,Bags,View all,,3,men/bags/,,
113,111,Men,Bags,Bags And Backpacks,,3,men/bags/bags-and-backpacks/,,
114,111,Men,Bags,Cross-Body Bags,,3,men/bags/cross-body-bags/,,
115,73,Men,Accessories,,,2,,,
116,115,Men,Accessories,View all,,3,men/accessories/,,
117,115,Men,Accessories,Eyewear,,3,men/accessories/eyewear/,,
118,115,Men,Accessories,Small Leather Goods,,3,men/accessories/small-leather-goods/,,
119,115,Men,Accessories,Belts,,3,men/accessories/belts/,,
120,115,Men,Accessories,Fashion Jewelry,,3,men/accessories/fashion-jewelry/,,
121,115,Men,Accessories,Hats And Caps,,3,men/accessories/hats-and-caps,,
122,115,Men,Accessories,Scarves,,3,men/accessories/scarves/,,
123,115,Men,Accessories,Other Accessories,,3,men/accessories/other-accessories/,,
124,73,Men,New In,,,2,men/new-in/,,
125,73,Men,Gifts For Him,,,2,men/gifts-for-him/,,
126,73,Men,Essentials For Him,,,2,men/essentials-for-him/,,
127,73,Men,Atelier Balmain,,,2,men/atelier-balmain/,,
128,73,Men,Sustainable Selection,,,2,men/sustainable-selection/,,
129,73,Men,Bags,,,2,,,
130,129,Men,Bags,View all,,3,men/bags/,,
131,129,Men,Bags,Bags And Backpacks,,3,men/bags/bags-and-backpacks/,,
132,129,Men,Bags,Cross-Body Bags,,3,men/bags/cross-body-bags/,,
133,21,Bags,,,,1,women/bags/,,
134,21,Bags,Jolie Madame Bags,,,2,women/bags/jolie-madame-bags/,,
135,21,Bags,B-Buzz Bags,,,2,women/bags/bbuzzbags/,,
136,21,Bags,Emblème Bags,,,2,women/bags/emblème-bags/,,
137,21,Bags,B-Army Bags,,,2,women/bags/b-army-bags/,,
138,21,Bags,1945 Bags,,,2,women/bags/1945-bags/,,
139,21,Bags,B-Buzz Dynasty Bags,,,2,women/bags/b-buzz-dynasty-bags/,,
140,,Sneakers,,,,1,,,
141,38,Sneakers,Women,,,2,,,
142,38,Sneakers,Women,View all,,3,women/sneakers/,,
143,38,Sneakers,Women,Unicorn,,3,women/sneakers/unicorn/,,
144,38,Sneakers,Women,Swan,,3,women/sneakers/swan/,,
145,38,Sneakers,Women,B-Court,,3,women/sneakers/b-court/,,
146,38,Sneakers,Women,B-East,,3,women/sneakers/b-east/,,
147,38,Sneakers,Women,Run-Row,,3,women/sneakers/run-row/,,
148,92,Sneakers,Men,,,2,,,
149,92,Sneakers,Men,View all,,3,men/sneakers/,,
150,92,Sneakers,Men,Unicorn,,3,men/sneakers/unicorn/,,
151,92,Sneakers,Men,Swan,,3,men/sneakers/swan/,,
152,92,Sneakers,Men,B-Court,,3,men/sneakers/b-court/,,
153,92,Sneakers,Men,B-East,,3,men/sneakers/b-east/,,
154,92,Sneakers,Men,Run-Row,,3,men/sneakers/run-row/,,
155,,Eyewear,,,,1,,,
156,60,Eyewear,Women,,,2,women/accessories/eyewear/,,
157,117,Eyewear,Men,,,2,men/accessories/eyewear/,,
158,,Kids,,,,1,,,
159,158,Kids,View All,,,2,kids/view-all/,,
160,158,Kids,Girls (4-10 Years),,,2,kids/girls/,,
161,158,Kids,Boys (4-10 Years),,,2,kids/boys/,,
162,158,Kids,Baby (1-9 Months),,,2,kids/baby/,,
163,,Beauty ,,,,1,,TRUE,https://us.balmain.com/en/beauty/
164,,BALMAIN CULTURE,,,,1,,TRUE,https://us.balmain.com/us/experience/virtual-space/the-house
165,164,BALMAIN CULTURE,The House,,,2,,,https://us.balmain.com/us/experience/virtual-space/fashion-shows
166,164,BALMAIN CULTURE,Shows,,,2,,,https://us.balmain.com/us/experience/virtual-space/balmain-campaigns
167,164,BALMAIN CULTURE,Campaigns,,,2,,,https://us.balmain.com/us/experience/virtual-space/balmain-projects
168,164,BALMAIN CULTURE,Projects,,,2,,,https://us.balmain.com/us/experience/virtual-space/balmain-projects
169,164,BALMAIN CULTURE,Bags Hub,,,2,,,https://us.balmain.com/us/experience/virtual-space/balmain-bags
170,164,BALMAIN CULTURE,Sneakers Hub,,,2,,,https://us.balmain.com/us/experience/virtual-space/balmain-sneakers
171,164,BALMAIN CULTURE,Podcasts,,,2,,,https://us.balmain.com/us/experience/latelier-balmain-podcast
