option_id,product_id,color,size
EF1R8018KI13SOL-1,EF1R8018KI13SOL,BLUE,34
EF1R8018KI13SOL-2,EF1R8018KI13SOL,BLUE,36
EF1R8018KI13SOL-3,EF1R8018KI13SOL,BLUE,38
EF1R8018KI13SOL-4,EF1R8018KI13SOL,BLUE,40
EF1R8018KI13SOL-5,EF1R8018KI13SOL,BLUE,42
EF1SK716XC670FA-1,EF1SK716XC670FA,WHITE,34
EF1SK716XC670FA-2,EF1SK716XC670FA,WHITE,36
EF1SK716XC670FA-3,EF1SK716XC670FA,WHITE,38
EF1SK716XC670FA-4,EF1SK716XC670FA,WHITE,40
EF1SK716XC670FA-5,EF1SK716XC670FA,WHITE,42
EF1UE100VH64EAB-1,EF1UE100VH64EAB,WHITE,34
EF1UE100VH64EAB-2,EF1UE100VH64EAB,WHITE,36
EF1UE100VH64EAB-3,EF1UE100VH64EAB,WHITE,38
EF1UE100VH64EAB-4,EF1UE100VH64EAB,WHITE,40
BF1EF005BB02OLA-1,BF1EF005BB02OLA,MULTICOLOR,XS
BF1EF005BB02OLA-2,BF1EF005BB02OLA,MULTICOLOR,S
BF1EF005BB02OLA-3,BF1EF005BB02OLA,MULTICOLOR,M
BF1EF005BB02OLA-4,BF1EF005BB02OLA,MULTICOLOR,L
BF1EF005BB02OLA-5,BF1EF005BB02OLA,MULTICOLOR,XL
BF1EF005BB02OLA-6,BF1EF005BB02OLA,MULTICOLOR,2XL
BF1EF005BB02GAB-1,BF1EF005BB02GAB,WHITE,XS
BF1EF005BB02GAB-2,BF1EF005BB02GAB,WHITE,S
BF1EF005BB02GAB-3,BF1EF005BB02GAB,WHITE,M
BF1EF005BB02GAB-4,BF1EF005BB02GAB,WHITE,L
BF1EF005BB02GAB-5,BF1EF005BB02GAB,WHITE,XL
BF1EF005BB02GAB-6,BF1EF005BB02GAB,WHITE,2XL
BF1EF005BB02EAB-1,BF1EF005BB02EAB,BLACK,XS
BF1EF005BB02EAB-2,BF1EF005BB02EAB,BLACK,S
BF1EF005BB02EAB-3,BF1EF005BB02EAB,BLACK,M
BF1EF005BB02EAB-4,BF1EF005BB02EAB,BLACK,L
BF1EF005BB02EAB-5,BF1EF005BB02EAB,BLACK,XL
BF1EF005BB02EAB-6,BF1EF005BB02EAB,BLACK,2XL
