product_id,base_item_code,item_code,name,category1,category1_1,category1_3,category1_4,collections1,collections2,collections3,collections4,menu_id,category_id,price,image_alt,created_at,updated_at
1,EF1R8018KI13,EF1R8018KI13SOL,Jacquard knit dress with body motif,Women,Ready-To-Wear,Dresses,,,,,New,4,"[1,2,4,67,3]",3290,Jacquard knit dress with body motif,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
2,EF1SK716XC67,EF1SK716XC670FA,Fitted tweed jacket,Women,Ready-To-Wear,Jackets And Blazers,,,,,New,5,"[1,2,5,67,3]",3290,Fitted tweed jacket,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
3,EF1UE100VH64,EF1UE100VH64EAB,"Long reversible coat with ""Love Letter"" print",Women,Ready-To-Wear,Outerwear,,,,,New,6,"[1,2,6,67,3]",5150,"Long reversible coat with ""Love Letter"" print",2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
4,BF1EF005BB02,BF1EF005BB02OLA,T-shirt with Balmain Paris print,Women,Ready-To-Wear,T-Shirts,Classic Logo,,,,New,7,"[1,2,7,8,67,3]",590,T-shirt with Balmain Paris print,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
5,BF1EF005BB02,BF1EF005BB02GAB,T-shirt with Balmain Paris print,Women,Ready-To-Wear,T-Shirts,Classic Logo,,,,Sustainable,7,"[1,2,7,8,67,3]",590,T-shirt with Balmain Paris print,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
6,BF1EF005BB02,BF1EF005BB02EAB,T-shirt with Balmain Paris print,Women,Ready-To-Wear,T-Shirts,Classic Logo,,,,Sustainable,7,"[1,2,7,8,67,3]",590,T-shirt with Balmain Paris print,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
7,BF1EF005BB02,BF1EF005BB02OIR,T-shirt with Balmain Paris print,Women,Ready-To-Wear,T-Shirts,Classic Logo,,,,Sustainable,7,"[1,2,7,8,67,3]",590,T-shirt with Balmain Paris print,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
8,BF1EF005BB02,BF1EF005BB02MCZ,T-shirt with Balmain Paris print,Women,Ready-To-Wear,T-Shirts,Classic Logo,,,,,7,"[1,2,7,8,3]",590,T-shirt with Balmain Paris print,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
9,EF1KA115KH87,EF1KA115KH87EAB,Balmain Couture two-tone knit top,Women,Ready-To-Wear,Tops And Shirts,TOPS,,,,New,10,"[1,2,10,11,67,3]",1290,Balmain Couture two-tone knit top,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
10,EF1KA115KH87,EF1KA115KH87MIG,Balmain Couture two-tone knit top,Women,Ready-To-Wear,Tops And Shirts,TOPS,,,,New,10,"[1,2,10,11,67,3]",1290,Balmain Couture two-tone knit top,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
11,EF1HT020VH61,EF1HT020VH61GAB,"Pussy-bow shirt with ""Love Letter"" print",Women,Ready-To-Wear,Tops And Shirts,Shirts,,,,New,10,"[1,2,10,12,67,3]",2090,"Pussy-bow shirt with ""Love Letter"" print",2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
12,EF1JQ002BB02,EF1JQ002BB02SOY,Printed Balmain Paris sweatshirt,Women,Ready-To-Wear,Sweatshirts,,,,,New,13,"[1,2,13,67,3]",990,Printed Balmain Paris sweatshirt,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
13,EF1KL133KH93,EF1KL133KH93IAC,Jacquard knit cardigan with body motif,Women,Ready-To-Wear,Knitwear,,,,,New,14,"[1,2,14,67,3]",2090,Jacquard knit cardigan with body motif,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
14,EF1LC245JJ95,EF1LC245JJ95EDY,Short jacquard skirt with Balmain ribbon motif,Women,Ready-To-Wear,Skirts,,,,,New,15,"[1,2,15,67,3]",1690,Short jacquard skirt with Balmain ribbon motif,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
15,EF1PO160WC09,EF1PO160WC090PA,Tailored grain de poudre trousers,Women,Ready-To-Wear,Trousers And Shorts,Trousers,,,,New,16,"[1,2,16,17,67,3]",1690,Tailored grain de poudre trousers,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
16,CF1MA012DB69,CF1MA012DB690FA,6-button denim shorts,Women,Ready-To-Wear,Trousers And Shorts,Shorts,Denim,,,,16,"[1,2,16,18,19,67,3]",1290,6-button denim shorts,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
17,EF1KL220KH80,EF1KL220KH806FF,Jacquard knit cardigan with denim effect,Women,Ready-To-Wear,Denim,,Knitwear,,,New,19,"[1,2,19,14,67,3]",2590,Jacquard knit cardigan with denim effect,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
