sustainability_id,product_id,contents
1,EF1R8018KI13SOL,"""<p>\r\n    Materials 1 : 60% Viscose 16% Polyamide 13% Polyester 10% Cotton 1% Elastane\r\n</p>\r\n<ul>\r\n    <li>Dyeing : Italy</li>\r\n    <li>Knitting : France</li>\r\n</ul>\r\n<p>Yarns 2 : 54% Cotton 46% Nylon</p>\r\n<ul>\r\n    <li>Dyeing : Italy</li>\r\n</ul>\r\n<p>Yarns 3 : 83% Viscose 17% Polyester</p>\r\n<ul>\r\n    <li>Dyeing : Italy</li>\r\n</ul>\r\n<p>Yarns 4 : 88% Viscose 12% Polyester</p>\r\n<ul>\r\n    <li>Dyeing : Italy</li>\r\n</ul>\r\n<p>Yarns 5 : 70% Polyamide 30% Polyester</p>\r\n<ul>\r\n    <li>Dyeing : Italy</li>\r\n</ul>"""
2,EF1SK716XC670FA,"""<p>Materials 1 : 100% Polyamide</p>\r\n    <ul>\r\n        <li>Dyeing : Italy</li>\r\n        <li>Weaving : Italy</li>\r\n    </ul>\r\n    <p>Linings : 52% Viscose 48% Cotton</p>\r\n    <ul>\r\n        <li>Dyeing : Italy</li>\r\n        <li>Weaving : France</li>\r\n    </ul>\r\n    <p>Releases microplastics into the environment during washing.</p>"""
3,EF1UE100VH64EAB,"""<p>Materials 1 : 100% Viscose</p>\r\n    <ul>\r\n        <li>Printing : Italy</li>\r\n        <li>Weaving : China</li>\r\n    </ul>\r\n    <p>Materials 2 : 100% Lyocell</p>\r\n    <ul>\r\n        <li>Printing : Italy</li>\r\n        <li>Weaving : Turkey</li>\r\n    </ul>\r\n    <p>Linings : 100% Cotton</p>\r\n    <ul>\r\n        <li>Dyeing : Italy</li>\r\n        <li>Weaving : Pakistan</li>\r\n    </ul>"""
4,BF1EF005BB02OLA,"""<p>Materials 1 : 100% Cotton</p>\r\n    <ul>\r\n        <li>Dyeing : Portugal</li>\r\n        <li>Knitting : Portugal</li>\r\n    </ul>"""
5,BF1EF005BB02GAB,"""<p>Materials 1 : 100% Cotton</p>\r\n    <ul>\r\n        <li>Dyeing : Portugal</li>\r\n        <li>Knitting : Portugal</li>\r\n    </ul>"""
6,BF1EF005BB02EAB,"""<p>Materials 1 : 100% Cotton</p>\r\n    <ul>\r\n        <li>Dyeing : Portugal</li>\r\n        <li>Knitting : Portugal</li>\r\n    </ul>"""
7,BF1EF005BB02OIR,"""<p>Materials 1 : 100% Cotton</p>\r\n    <ul>\r\n        <li>Dyeing : Portugal</li>\r\n        <li>Knitting : Portugal</li>\r\n    </ul>"""
8,BF1EF005BB02MCZ,"""<p>Materials 1 : 100% Cotton</p>\r\n    <ul>\r\n        <li>Dyeing : Portugal</li>\r\n        <li>Knitting : Portugal</li>\r\n    </ul>"""
9,EF1KA115KH87EAB,"""<p>Materials 1 : 100% Virgin wool</p>\r\n    <ul>\r\n        <li>Dyeing : Italy</li>\r\n        <li>Knitting : Italy</li>\r\n    </ul>\r\n    <p>Yarns 1 : 100% Merino wool</p>\r\n    <ul>\r\n        <li>Dyeing : Italy</li>\r\n    </ul>"""
10,EF1KA115KH87MIG,"""<p>Materials 1 : 100% Virgin wool</p>\r\n    <ul>\r\n        <li>Dyeing : Italy</li>\r\n        <li>Knitting : Italy</li>\r\n    </ul>\r\n    <p>Yarns 1 : 100% Merino wool</p>\r\n    <ul>\r\n        <li>Dyeing : Italy</li>\r\n    </ul>"""
11,EF1HT020VH61GAB,"""<p>Materials 1 : 100% Viscose</p>\r\n    <ul>\r\n        <li>Printing : Italy</li>\r\n        <li>Weaving : China</li>\r\n    </ul>"""
12,EF1JQ002BB02SOY,"""<p>Materials 1 : 100% Cotton</p>\r\n    <ul>\r\n        <li>Dyeing : Portugal</li>\r\n        <li>Knitting : Portugal</li>\r\n    </ul>"""
